epoch,Categorical Accuracy,Macro F1,Micro F1,Weighted F1,loss,val_Categorical Accuracy,val_Macro F1,val_Micro F1,val_Weighted F1,val_loss
10,0.6716067790985107,0.5486347675323486,0.6716067790985107,0.6550244092941284,1.322487711906433,0.359652578830719,0.10121104121208191,0.359652578830719,0.33095699548721313,1.932958722114563
11,0.6833270192146301,0.5584970116615295,0.6833270192146301,0.6663964986801147,1.2423633337020874,0.4915120303630829,0.15837453305721283,0.4915120303630829,0.4173831641674042,1.9410163164138794
12,0.6966729760169983,0.5748445391654968,0.6966729760169983,0.6805210113525391,1.1703060865402222,0.4982234537601471,0.20769266784191132,0.4982234537601471,0.4332561790943146,1.8375476598739624
13,0.7065784335136414,0.5890370607376099,0.7065784335136414,0.6920778751373291,1.1236331462860107,0.47927358746528625,0.22208718955516815,0.47927358746528625,0.44610995054244995,1.5799789428710938
14,0.7175803184509277,0.6017925143241882,0.717580258846283,0.7015173435211182,1.0550808906555176,0.5481642484664917,0.21711358428001404,0.5481642484664917,0.45123425126075745,1.86370050907135
15,0.7261247634887695,0.610724925994873,0.7261247038841248,0.7112024426460266,1.014529824256897,0.3582708239555359,0.12636564671993256,0.3582707941532135,0.3180040121078491,2.3108503818511963
16,0.7355765700340271,0.6273523569107056,0.7355765700340271,0.7211961150169373,0.9610188603401184,0.3624161183834076,0.10038468986749649,0.3624160885810852,0.3138965964317322,2.2920889854431152
17,0.7449149489402771,0.6383758783340454,0.7449149489402771,0.7315483093261719,0.9201981425285339,0.5422424077987671,0.190229594707489,0.5422424077987671,0.44955527782440186,1.980320930480957
18,0.7559168338775635,0.6501982808113098,0.7559168338775635,0.7422275543212891,0.8617643117904663,0.47512829303741455,0.142049640417099,0.47512829303741455,0.40049925446510315,2.1045968532562256
19,0.7635538578033447,0.6559825539588928,0.7635538578033447,0.7504163980484009,0.8363370895385742,0.43091195821762085,0.1539047658443451,0.43091195821762085,0.38271480798721313,2.1498348712921143
20,0.7688090801239014,0.6602016091346741,0.7688090205192566,0.755429744720459,0.8171399235725403,0.6877220869064331,0.5059948563575745,0.6877220869064331,0.6759207248687744,0.9884552955627441
21,0.768846869468689,0.6587937474250793,0.768846869468689,0.7551816701889038,0.8190208673477173,0.7127911448478699,0.5282193422317505,0.7127912044525146,0.7028019428253174,0.8672029376029968
22,0.7695274353027344,0.6607864499092102,0.7695274949073792,0.7565336227416992,0.8020721077919006,0.6946308612823486,0.5081242322921753,0.6946308612823486,0.6831299066543579,0.9463798403739929
23,0.7720983028411865,0.6674451231956482,0.7720983028411865,0.7594412565231323,0.7955275774002075,0.6902881860733032,0.5087299346923828,0.6902881860733032,0.6804373264312744,0.9788782000541687
24,0.7737995982170105,0.6663486361503601,0.7737995386123657,0.7603926062583923,0.7858881950378418,0.691472589969635,0.4961841106414795,0.691472589969635,0.6765534281730652,0.9479517936706543
25,0.7759924530982971,0.6673440933227539,0.7759924530982971,0.7624778151512146,0.7821030020713806,0.6814054250717163,0.4877345561981201,0.6814054250717163,0.6705276966094971,0.9850732088088989
26,0.7772400975227356,0.6719247102737427,0.7772401571273804,0.7640363574028015,0.7693018913269043,0.718120813369751,0.5469390153884888,0.7181207537651062,0.7090397477149963,0.8531480431556702
27,0.7766729593276978,0.6715513467788696,0.7766729593276978,0.7636347413063049,0.7778723239898682,0.708053708076477,0.5224415063858032,0.7080536484718323,0.7030673027038574,0.8817135095596313
28,0.780189037322998,0.6751988530158997,0.780189037322998,0.7672656774520874,0.7622814774513245,0.6975917816162109,0.4901137948036194,0.6975917816162109,0.6789321303367615,0.9379274845123291
29,0.7814366817474365,0.675776481628418,0.7814366817474365,0.7682844996452332,0.7618290781974792,0.7206869125366211,0.5325607657432556,0.7206869125366211,0.7118629813194275,0.8759440779685974
30,0.7768241763114929,0.6729639172554016,0.7768241763114929,0.7642889022827148,0.7756889462471008,0.7198973298072815,0.5353773236274719,0.7198973894119263,0.7110428810119629,0.8601772785186768
31,0.7791682481765747,0.6725760102272034,0.7791682481765747,0.7663183212280273,0.7603722214698792,0.7157520651817322,0.5360181331634521,0.7157520651817322,0.7078458666801453,0.8622854948043823
32,0.7805671095848083,0.677071213722229,0.7805671095848083,0.768042802810669,0.7595996260643005,0.6725227236747742,0.4825004041194916,0.6725227236747742,0.6624553799629211,1.0374538898468018
33,0.7832892537117004,0.6800529360771179,0.7832893133163452,0.7716727256774902,0.7549650073051453,0.6821950078010559,0.4938828945159912,0.6821950078010559,0.6688982248306274,0.9944429993629456
34,0.7836294770240784,0.6770803928375244,0.7836295366287231,0.7710117101669312,0.7467971444129944,0.7102250456809998,0.5417175889015198,0.7102250456809998,0.7032794952392578,0.8795432448387146
35,0.7841587662696838,0.6826324462890625,0.7841588258743286,0.772014856338501,0.7477719783782959,0.7019344568252563,0.5085533857345581,0.7019344568252563,0.6876850724220276,0.914792537689209
36,0.7876370549201965,0.6825240254402161,0.7876370549201965,0.7750522494316101,0.7234774231910706,0.7252269983291626,0.5511871576309204,0.7252269983291626,0.7179849147796631,0.845491349697113
37,0.7854064106941223,0.6805107593536377,0.7854064106941223,0.7728041410446167,0.7436378598213196,0.6865376830101013,0.5019737482070923,0.6865376830101013,0.686525285243988,0.9827169179916382
38,0.7898676991462708,0.6860625743865967,0.7898676991462708,0.7781626582145691,0.7194530367851257,0.67607581615448,0.48116353154182434,0.67607581615448,0.6676933169364929,1.0424991846084595
39,0.7874858379364014,0.684874415397644,0.7874858379364014,0.7751861214637756,0.7344294786453247,0.7100276350975037,0.5114141702651978,0.7100276350975037,0.6950474381446838,0.8743444681167603
40,0.7845746874809265,0.6595406532287598,0.7725917100906372,0.7603623867034912,0.72525954246521,0.723253071308136,0.5558139085769653,0.723253071308136,0.7174004316329956,0.828832745552063
41,0.7858601212501526,0.6832032203674316,0.7858601212501526,0.7730261087417603,0.7358127236366272,0.7268061637878418,0.5561001896858215,0.726806104183197,0.72015380859375,0.8266510963439941
42,0.7862381935119629,0.6854753494262695,0.7862381935119629,0.7744535207748413,0.7326287627220154,0.7268061637878418,0.5574790239334106,0.726806104183197,0.7210155129432678,0.8271023631095886
43,0.7874101996421814,0.6829716563224792,0.7874102592468262,0.7752605676651001,0.7307467460632324,0.7275957465171814,0.5575733184814453,0.7275957465171814,0.7215611338615417,0.8248527646064758
44,0.7887712717056274,0.686469554901123,0.7887712717056274,0.7761930823326111,0.7222540974617004,0.7275957465171814,0.5590215921401978,0.7275957465171814,0.7215280532836914,0.8268530368804932
45,0.7880151271820068,0.6900068521499634,0.7880151867866516,0.7764047384262085,0.7258193492889404,0.7287800908088684,0.5523451566696167,0.7287800908088684,0.7212104797363281,0.8258861899375916
46,0.7870699167251587,0.6858690977096558,0.7870699167251587,0.7751591205596924,0.7354856133460999,0.730754017829895,0.5598280429840088,0.7307539582252502,0.7240577936172485,0.820382297039032
47,0.7874101996421814,0.68419349193573,0.7874102592468262,0.7751901149749756,0.726525068283081,0.7248322367668152,0.5555660128593445,0.7248321771621704,0.7185716032981873,0.8249613046646118
48,0.7855576276779175,0.682253360748291,0.7855576276779175,0.7733460664749146,0.7296082377433777,0.7297670841217041,0.5588488578796387,0.7297670841217041,0.7237411141395569,0.8211580514907837
49,0.7915312051773071,0.6935478448867798,0.7915312051773071,0.779400646686554,0.7015185356140137,0.7285826802253723,0.5577253103256226,0.7285826802253723,0.7224019169807434,0.822716236114502
